,date,ct,dt,ct_ma,dt_ma
0,2020-02-01,5,0,,
1,2020-02-02,0,0,,
2,2020-02-03,0,0,,
3,2020-02-04,2,0,,
4,2020-02-05,1,0,,
5,2020-02-06,0,0,,
6,2020-02-07,0,0,1.1428571428571428,0.0
7,2020-02-08,1,0,0.5714285714285714,0.0
8,2020-02-09,0,0,0.5714285714285714,0.0
9,2020-02-10,2,0,0.8571428571428571,0.0
10,2020-02-11,1,0,0.7142857142857143,0.0
11,2020-02-12,1,0,0.7142857142857143,0.0
12,2020-02-13,5,1,1.4285714285714286,0.14285714285714285
13,2020-02-14,10,0,2.857142857142857,0.14285714285714285
14,2020-02-15,11,0,4.285714285714286,0.14285714285714285
15,2020-02-16,6,0,5.142857142857143,0.14285714285714285
16,2020-02-17,7,0,5.857142857142857,0.14285714285714285
17,2020-02-18,12,1,7.428571428571429,0.2857142857142857
18,2020-02-19,6,0,8.142857142857142,0.2857142857142857
19,2020-02-20,10,0,8.857142857142858,0.14285714285714285
20,2020-02-21,17,0,9.857142857142858,0.14285714285714285
21,2020-02-22,25,0,11.857142857142858,0.14285714285714285
22,2020-02-23,12,0,12.714285714285714,0.14285714285714285
23,2020-02-24,11,0,13.285714285714286,0.14285714285714285
24,2020-02-25,13,1,13.428571428571429,0.14285714285714285
25,2020-02-26,19,0,15.285714285714286,0.14285714285714285
26,2020-02-27,26,1,17.571428571428573,0.2857142857142857
27,2020-02-28,18,1,17.714285714285715,0.42857142857142855
28,2020-02-29,9,1,15.428571428571429,0.5714285714285714
29,2020-03-01,14,0,15.714285714285714,0.5714285714285714
30,2020-03-02,19,0,16.857142857142858,0.5714285714285714
31,2020-03-03,20,0,17.857142857142858,0.42857142857142855
32,2020-03-04,35,1,20.142857142857142,0.5714285714285714
33,2020-03-05,32,0,21.0,0.42857142857142855
34,2020-03-06,55,0,26.285714285714285,0.2857142857142857
35,2020-03-07,46,0,31.571428571428573,0.14285714285714285
36,2020-03-08,33,1,34.285714285714285,0.2857142857142857
37,2020-03-09,28,2,35.57142857142857,0.5714285714285714
38,2020-03-10,58,3,41.0,1.0
39,2020-03-11,55,2,43.857142857142854,1.1428571428571428
40,2020-03-12,56,4,47.285714285714285,1.7142857142857142
41,2020-03-13,37,2,44.714285714285715,2.0
42,2020-03-14,62,1,47.0,2.142857142857143
43,2020-03-15,31,2,46.714285714285715,2.2857142857142856
44,2020-03-16,17,6,45.142857142857146,2.857142857142857
45,2020-03-17,50,0,44.0,2.4285714285714284
46,2020-03-18,35,2,41.142857142857146,2.4285714285714284
47,2020-03-19,40,1,38.857142857142854,2.0
48,2020-03-20,54,1,41.285714285714285,1.8571428571428572
49,2020-03-21,37,2,37.714285714285715,2.0
50,2020-03-22,45,4,39.714285714285715,2.2857142857142856
51,2020-03-23,40,1,43.0,1.5714285714285714
52,2020-03-24,73,1,46.285714285714285,1.7142857142857142
53,2020-03-25,97,3,55.142857142857146,1.8571428571428572
54,2020-03-26,102,2,64.0,2.0
55,2020-03-27,114,6,72.57142857142857,2.7142857142857144
56,2020-03-28,198,3,95.57142857142857,2.857142857142857
57,2020-03-29,179,7,114.71428571428571,3.2857142857142856
58,2020-03-30,94,2,122.42857142857143,3.4285714285714284
59,2020-03-31,254,2,148.28571428571428,3.5714285714285716
60,2020-04-01,280,5,174.42857142857142,3.857142857142857
61,2020-04-02,283,3,200.28571428571428,4.0
62,2020-04-03,336,6,232.0,4.0
63,2020-04-04,371,6,256.7142857142857,4.428571428571429
64,2020-04-05,351,6,281.2857142857143,4.285714285714286
65,2020-04-06,234,3,301.2857142857143,4.428571428571429
66,2020-04-07,375,2,318.57142857142856,4.428571428571429
67,2020-04-08,535,7,355.0,4.714285714285714
68,2020-04-09,594,8,399.42857142857144,5.428571428571429
69,2020-04-10,636,12,442.2857142857143,6.285714285714286
70,2020-04-11,701,13,489.42857142857144,7.285714285714286
71,2020-04-12,522,9,513.8571428571429,7.714285714285714
72,2020-04-13,300,9,523.2857142857143,8.571428571428571
73,2020-04-14,504,14,541.7142857142857,10.285714285714286
74,2020-04-15,558,16,545.0,11.571428571428571
75,2020-04-16,563,18,540.5714285714286,13.0
76,2020-04-17,560,13,529.7142857142857,13.142857142857142
77,2020-04-18,590,19,513.8571428571429,14.0
78,2020-04-19,366,19,491.57142857142856,15.428571428571429
79,2020-04-20,344,20,497.85714285714283,17.0
80,2020-04-21,383,28,480.57142857142856,19.0
81,2020-04-22,396,20,457.42857142857144,19.571428571428573
82,2020-04-23,432,28,438.7142857142857,21.0
83,2020-04-24,385,9,413.7142857142857,20.428571428571427
84,2020-04-25,332,19,376.85714285714283,20.428571428571427
85,2020-04-26,219,16,355.85714285714283,20.0
86,2020-04-27,171,22,331.14285714285717,20.285714285714285
87,2020-04-28,284,19,317.0,19.0
88,2020-04-29,216,18,291.2857142857143,18.714285714285715
89,2020-04-30,208,27,259.2857142857143,18.571428571428573
90,2020-05-01,274,29,243.42857142857142,21.428571428571427
91,2020-05-02,303,26,239.28571428571428,22.428571428571427
92,2020-05-03,200,24,236.57142857142858,23.571428571428573
93,2020-05-04,168,22,236.14285714285714,23.571428571428573
94,2020-05-05,125,11,213.42857142857142,22.428571428571427
95,2020-05-06,101,12,197.0,21.571428571428573
96,2020-05-07,98,12,181.28571428571428,19.428571428571427
97,2020-05-08,87,17,154.57142857142858,17.714285714285715
98,2020-05-09,115,20,127.71428571428571,16.857142857142858
99,2020-05-10,69,12,109.0,15.142857142857142
100,2020-05-11,37,19,90.28571428571429,14.714285714285714
